LON,LAT,EDO,CLAVE,ESTACION,feb-23
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",0
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",0
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",0
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",0
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",0
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",0
-102.296667,22.362778,AGS,CSOAG,"Cosío, Ags.",0
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",0
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",0
-102.371667,21.78,AGS,NGRAG,"El Niágara, Ags.",0
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",0
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",0
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",0
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",0
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",0
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",0
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",38.66
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",57.02
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",57.43
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",49.13
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",43.2
-115.931389,30.517222,BC,ENBBN,"San Quintín, B.C.",21.3
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0
-115.191944,32.412778,BC,ENVOLEONob,"Observatorio de Ejido Nuevo León, B.C. SMN*",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",61.8
-114.728056,32.705,BC,JMRBN,"Interconexión José María Morelos y Pavón, B.C.",4.31
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0.51
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez. 2, B.C. SMN*",43
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",2.2
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",50.8
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",64
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",43.76
-114.834444,31.028056,BC,SFELIPEob,"Observatorio de San Felipe, B.C. SMN*",0
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",25.4
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",48.17
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",1
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",11.03
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",8.24
-110.316667,24.116667,BCS,LAPAZob,"Observatorio de La Paz, B.C.S. SMN*",0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0.02
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",4.02
-111.829444,24.481111,BCS,PCORTESmar,"Puerto Cortés, B.C.S. SEMAR*",0
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0.02
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0.02
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",3.4
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",5
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",1.01
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",3.8
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",0.01
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",4.12
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",2
-89.743889,20.003889,CAMP,BOLCA,"Bolonchén, Camp.",13.01
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",9.9
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",187
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",97.59
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",1
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",3
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",15.8
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",7.1
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",15.8
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",0
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",15.6
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",24.6
-90.221389,19.605833,CAMP,NYXCA,"Noh-Yaxché, Camp.",19.3
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",281.5
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",43
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",0
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",8.5
-90.310833,19.013611,CAMP,YOHALTUM,"Yohaltún, Camp. SMN*",1.25
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",0.01
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",2
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",24.3
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",4
-108.52,28.147222,CHIH,C08182,"Moris, Chih.",10
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",22
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",5.52
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",0.03
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",13.72
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",1.2
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",7.5
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",9.14
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",14.38
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",3.7
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",9.01
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",10
-105.382222,27.576389,CHIH,CLNCH,"Ing. Andrew Weiss, Chih.",10
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",11.2
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",3.7
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",16.5
-107.073056,26.813611,CHIH,GCCCH,"Guachochi, Chih. SMN*",33.4
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",32.91
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",24
-107.879167,26.870833,CHIH,INGCH,"San Ignacio, Chih.",24
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",11.6
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",13.5
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",6.58
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",13.51
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",8.39
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",2.4
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",17
-105.254167,26.546389,CHIH,PAGCH,"Pico del Águila, Chih.",0.01
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",5.81
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",1.5
-107.973333,26.9425,CHIH,TBRSI,"San Francisco, Chih.",14.41
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",5.83
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",30
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",0.01
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",14.5
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",1.1
-92.034722,16.737778,CHIS,ALTAMIRANO,"Altamirano, Chis. SGT*",37.2
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",0.1
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",0
-92.874722,17.188889,CHIS,ARROYOGRANDE,"Arroyo Grande, Chis. SGT*",98.7
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza-Pac, Chis. CFE*",666.4
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. SGT*",16.7
-93.026389,16.9525,CHIS,BOMBANA,"Bombana, Chis. SGT*",10.3
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",1.6
-92.716667,15.35,CHIS,CACCP,"Cacaluta, Chis.",0.1
-92.4875,16.308333,CHIS,CASCAJAL,"Cascajal, Chis. SGT*",6.8
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",34
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",0.2
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",45.9
-92.618056,16.963333,CHIS,CHALCHIHUITAN,"Chalchihuitán, Chis. SGT*",168.6
-93.131389,17.341389,CHIS,CHAPULTENANGO,"Chapultenango SGT, Chis.",862.8
-92.715556,16.578056,CHIS,CHIAPILLA,"Villa de Chiapilla, Chis. SGT*",36
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",0.4
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",6.4
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",5
-93.466944,16.441389,CHIS,COBREGONCFE,"Cristóbal Obregón, Chis. CFE*",9.5
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",2.2
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. SMN*",0
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",10.8
-92.938056,15.881944,CHIS,CUXTEPEQUESHM,"Finca Cuxtepeques hidrométrica, Chis. SGT*",7.6
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",0
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",9
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",15.2
-92.828611,16.787778,CHIS,ELBURRERO,"El Burrero, Chis. SGT*",11.2
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",0
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",43.79
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",423.5
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",0
-92.67,15.33,CHIS,ESCUINTLA,"Escuintla, Chis. SMN*",0
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",637.9
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",1.5
-92.918333,17.441389,CHIS,FIMADERO,"Francisco I. Madero, Chis. SGT*",677.9
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",8.5
-92.402778,14.997222,CHIS,HUECP,"Huehuetán, Chis.",2.7
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",0
-92.454167,16.712778,CHIS,HUIXTAN,"Huixtán, Chis. SGT*",29
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. SGT*",0
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",1.2
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",1.2
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",597.2
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",14.9
-90.702222,16.580833,CHIS,LACCP,"Lacantún, Chis.",24
-93.563333,16.6925,CHIS,LASFLORESII,"Las Flores Dos, Chis. SGT*",6.6
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",6.6
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",93.78
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",130.3
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",0
-93.105833,16.741944,CHIS,MODULO5,"Módulo Cinco, Chis. SGT*",1.5
-92.673889,17.185556,CHIS,MOJOSTIC,"Mojostic, Chis. SGT*",99.7
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",4.2
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",0
-93.091389,16.7225,CHIS,MUCH,"Museo de Chiapas de Ciencia y Tecnología, Chis. SGT*",2.4
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",4.2
-93.369167,17.455,CHIS,NVOXOCHIMILCO,"Nuevo Xochimilco, Chis. SGT*",193.1
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",527.3
-93.087778,16.760278,CHIS,PARQUEOTE,"Parque Oriente, Chis. SGT*",1.7
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",5.8
-91.967778,15.849444,CHIS,PCONCORDIACFE,"Puente Concordia, Chis. CFE*",5.8
-93.458611,17.446111,CHIS,PENCP,"Ángel Albino Corzo, Chis.",414.2
-93.474444,17.463611,CHIS,PENITAS,"Peñitas, Chis. SGT*",395
-93.457778,17.445,CHIS,PENITASCFE,"Peñitas, Chis. CFE*",414
-92.794167,15.714444,CHIS,PRUSIA,"Prusia, Chis. SGT*",11.6
-93.186667,16.753889,CHIS,PTECLUBCAMP,"Puente Club Campestre, Chis. SGT*",1.8
-92.649167,16.725278,CHIS,PTEMORELOS,"Puente Morelos, Chis. SGT*",6.2
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",14.6
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",0.2
-93.356111,17.883056,CHIS,REFORMA,"Reforma,Tab. SGT*",0.1
-93.030278,17.413333,CHIS,REFUGIOCP,"El Refugio, Chis. SGT*",746.4
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",0.6
-93.102778,17.4975,CHIS,RIOJANEIRO,"Río de Janeiro, Chis. SGT*",215.2
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",228.7
-93.128889,16.790278,CHIS,SANJUANSEMIN,"San Juan Seminario, Chis. SGT*",4.8
-92.239167,15.776667,CHIS,SANMIGUELCFE,"San Miguel, Chis. CFE*",14
-93.741111,16.699722,CHIS,SANTALUCIAHM,"Santa Lucía, Chis. SGT*",11
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",757.3
-92.603056,16.727222,CHIS,SCCASASCFE,"San Cristóbal de las Casas, Chis. CFE*",9.4
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",11.2
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",11.9
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",0
-93.1,16.786111,CHIS,SECTEC103,"Secundaria Técnica 103, Chis. SGT*",3.2
-93.133889,16.747222,CHIS,SECTEC59,"Secundaria Técnica 59, Chis. SGT*",0.5
-92.951389,15.872778,CHIS,SFRANCISCOII,"San Francisco 2, Chis. SGT*",10.9
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",18.4
-93.085,17.561111,CHIS,SJOCP,"San Joaquín, Chis.",594.2
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",14
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",153.4
-92.820833,16.938889,CHIS,SNACP,"Santa María, Chis.",233.4
-92.731389,17.035556,CHIS,SPNICHTALUCUM,"San Pedro Nichtalucum, Chis. SGT*",163.7
-92.148889,14.698611,CHIS,SUCHIATE,"Suchiate, Chis. SGT*",1.7
-93.034167,16.742778,CHIS,SUMIDEROCFE,"Cañón del Sumidero, Chis. CFE*",0.4
-93.244722,17.494167,CHIS,SUNUAPA,"Sunuapa, Chis. SGT*",623.8
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",0
-92.426389,17.300278,CHIS,TILA,"Tila, Chis. SGT*",46
-93.0575,16.736111,CHIS,TRABAJOSOCIAL,"Trabajo Social, Chis. SGT*",1.3
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",15.3
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",1.5
-93.086111,16.761667,CHIS,TUXTLACFE,"Tuxtla, Chis. CFE*",1.5
-93.086667,16.755278,CHIS,TXCCP,"Tuxtla Gutiérrez CFE, Chis.",1.6
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla Gutiérrez, Chis.",2.4
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac CFE, Chis.",774
-93.121944,16.778056,CHIS,UNICACH,"Universidad de Ciencias y Artes de Chiapas, Chis. SGT*",1.9
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",105.8
-93.248056,16.253889,CHIS,VILLAFLORES,"Villaflores, Chis. SGT*",2.7
-93.330556,17.116667,CHIS,YAMCP,"Yamonhó, Chis.",260.9
-91.729722,16.909167,CHIS,YAQUINTELA,"Yaquintela, Chis. SGT*",26
-92.799722,17.270833,CHIS,ZACATONAL,"Zacatonal de Juárez, Chis. SGT*",0
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",2
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",0.7
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",0
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",0
-102.064444,26.983333,COAH,CCGCL,"Cuatro Ciénegas, Coah.",0
-100.950278,29.327778,COAH,CDACL,"Ciudad Acuña, Coah.",1
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",2
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",0
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",0
-100.920833,25.436111,COAH,ESLCL,"Secretaría de Agricultura Saltillo, Coah.",0
-103.262778,25.773889,COAH,FIMCL,"Francisco I. Madero, Coah.",0
-103.228056,25.527778,COAH,MATCL,"Matamoros, Coah.",0
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",0
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",1.9
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",0.01
-100.556944,28.667778,COAH,RIOESCONDIDOC,"Río Escondido Villa De Fuentes, Coah. CILA*",0.5
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",0
-101.016667,25.376389,COAH,SALTILLOob,"Observatorio de Saltillo, Coah. SMN*",0
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego Jiménez, Coah. CILA*",1.5
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",0.01
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",0
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",0
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",0
-103.45,25.541667,COAH,TORCL,"Observatorio de Torreón, Coah.",0.01
-100.95,27.519444,COAH,VCARRANZA,"Venustiano Carranza, Coah. SMN*",0.2
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",0.01
-103.613056,19.2475,COL,BVSCM,"Buenavista, Col.",0
-103.725556,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",0
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",0
-103.626111,18.826389,COL,CLLCM,"Callejones, Col.",0
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",0
-103.804167,19.2125,COL,CQMCM,"Coquimatlán, Col.",0
-103.6,19.325,COL,CUACM,"Cuauhtémoc, Col.",0
-103.884444,19.111389,COL,DJLCM,"Presa derivadora Jala, Col.",0
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",0
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",0
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",0
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",0
-104.297778,19.069167,COL,MANZANILLOmar,"Manzanillo, Col. SEMAR*",0
-104.318611,19.044444,COL,MNZCM,"Observatorio de Manzanillo, Col.",0
-103.8125,19.3275,COL,PNTCM,"Peñitas, Col.",0
-104.100556,18.938611,COL,RDRCM,"Radar, Col.",0
-103.700833,19.408333,COL,SCHCM,"Suchitlán, Col.",0
-103.867778,18.911667,COL,TCMCM,"Tecomán, Col.",0
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",0
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de Méx.",0
-99.174167,19.240833,DF,AMC,"Academia Mexicana de Ciencias, Cd. de Méx. UNAM*",0
-99.102778,19.423056,DF,BALBUENA,"Balbuena, Cd. de Méx. UNAM*",0
-99.118056,19.469722,DF,BONDOJITO,"Bondojito, Cd. de Méx. UNAM*",0.36
-99.283333,19.436389,DF,BOSQUEREAL,"Bosque Real, Méx. UNAM*",0.99
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias Biológicas IPN, Cd. de Méx. SMN*",0
-99.059722,19.383889,DF,CCHOTE,"Colegio de Ciencias y Humanidades Oriente, Cd. de Méx. UNAM*",0
-99.140833,19.483333,DF,CCHVALLEJO,"Colegio de Ciencias y Humanidades Vallejo, Cd. de Méx. UNAM*",0.01
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de Méx.",0
-98.999444,19.357222,DF,CDMDF,"Cárcel de Mujeres, Cd. de Méx.",0
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de Méx.",0
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de Méx.",0
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de Méx.",0
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de Méx.",0
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de Méx.",0
-99.19,19.3375,DF,CONAGUAOFC,"Conagua Oficinas Centrales, Cd. de Méx SGT*",0
-99.196111,19.406389,DF,CTMDF,"Observatorio de Tacubaya, Cd. de Méx.",0
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de Méx.",0
-99.291667,19.355278,DF,CUAJIMALPA,"Memetla Cuajimalpa, Cd. de Méx. UNAM*",0.97
-99.097222,19.193611,DF,CUAUHTENCO,"Cuauhtenco, Cd. de Méx. UNAM*",0
-99.140833,19.549444,DF,CUAUTEPEC,"Cuautepec, Cd. de Méx. UNAM*",0
-99.105,19.323333,DF,CULHUACAN,"Culhuacán, Cd. de Méx. UNAM*",0
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de Méx.",0
-99.205,19.3,DF,DATDF,"Desviación Alta, Cd. de Méx.",0
-99.310556,19.313056,DF,DDELOSLEONES,"Desierto de los Leones, Cd. de Méx. SACMEX*",1.52
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de México, Cd. de Méx.",0
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de Méx.",0.76
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de Méx.",0
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de Méx.",0
-99.091667,19.478056,DF,GCNDF,"km 6+250, Cd. de Méx.",0
-99.250833,19.415833,DF,HERRADURA,"Herradura, Méx. UNAM*",0.56
-99.119444,19.496389,DF,INDIOSVER,"Indios Verdes, Cd. de Méx. UNAM*",0.09
-99.3,19.340556,DF,LVNDF,"La Venta, Cd. de Méx.",0
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de Méx.",0
-99.1175,19.356389,DF,MEXICALTZI,"Mexicaltzingo, Cd. de Méx. UNAM*",0
-99.043889,19.3375,DF,MEYEHUALCO,"Meyehualco, Cd. de Méx. UNAM*",0
-99.0175,19.196667,DF,MILPAALTA,"Milpa Alta, Cd. de Méx. UNAM*",0.46
-99.026944,19.187222,DF,MLPDF,"Milpa Alta, Cd. de Méx.",0
-99.233056,19.187778,DF,MZTDF,"Planta Abasolo Mezontepec, Cd. de Méx.",0
-99.243333,19.473889,DF,NAUCALPAN,"Naucalpan, Méx. UNAM*",0.02
